"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1115","Guest can add product to basket","tests","Tue Dec 30 20:04:17 UTC 2025","passed","Tue Dec 30 20:04:18 UTC 2025","TestProductPage","test_product_page","",""
"","977","Guest can add product to basket","tests","Tue Dec 30 20:04:16 UTC 2025","passed","Tue Dec 30 20:04:17 UTC 2025","TestProductPage","test_product_page","",""
"","729","Guest should see login link on Main page","tests","Tue Dec 30 20:04:06 UTC 2025","passed","Tue Dec 30 20:04:07 UTC 2025","TestMainPage","test_main_page","",""
"","5536","Authorized user see no messages on Product page","tests","Tue Dec 30 20:04:33 UTC 2025","passed","Tue Dec 30 20:04:39 UTC 2025","TestProductPage","test_product_page","",""
"","964","Add to basket button is present on Product page","tests","Tue Dec 30 20:04:39 UTC 2025","passed","Tue Dec 30 20:04:40 UTC 2025","TestProductPage","test_product_page","",""
"","2260","User can add product to basket","tests","Tue Dec 30 20:04:49 UTC 2025","passed","Tue Dec 30 20:04:51 UTC 2025","TestProductPage","test_product_page","",""
"","6505","Empty basket opened from Main page has no products","tests","Tue Dec 30 20:04:06 UTC 2025","passed","Tue Dec 30 20:04:12 UTC 2025","TestMainPage","test_main_page","",""
"","991","Guest can add product to basket","tests","Tue Dec 30 20:04:15 UTC 2025","passed","Tue Dec 30 20:04:16 UTC 2025","TestProductPage","test_product_page","",""
"","990","Guest can add product to basket","tests","Tue Dec 30 20:04:25 UTC 2025","skipped","Tue Dec 30 20:04:26 UTC 2025","TestProductPage","test_product_page","",""
"","2558","Guest can add product to basket","tests","Tue Dec 30 20:04:21 UTC 2025","passed","Tue Dec 30 20:04:24 UTC 2025","TestProductPage","test_product_page","",""
"","604","Guest should see login link on Product page","tests","Tue Dec 30 20:04:13 UTC 2025","passed","Tue Dec 30 20:04:13 UTC 2025","TestProductPage","test_product_page","",""
"","1272","Guest can go to login page from Main page","tests","Tue Dec 30 20:04:06 UTC 2025","passed","Tue Dec 30 20:04:07 UTC 2025","TestProductPage","test_product_page","",""
"","823","Guest can add product to basket","tests","Tue Dec 30 20:04:11 UTC 2025","passed","Tue Dec 30 20:04:12 UTC 2025","TestProductPage","test_product_page","",""
"","1481","Guest can add product to basket","tests","Tue Dec 30 20:04:12 UTC 2025","passed","Tue Dec 30 20:04:14 UTC 2025","TestProductPage","test_product_page","",""
"","5657","Guest see no products in empty basket opened from Product page","tests","Tue Dec 30 20:04:51 UTC 2025","passed","Tue Dec 30 20:04:57 UTC 2025","TestProductPage","test_product_page","",""
"","1422","Guest can add product to basket","tests","Tue Dec 30 20:04:24 UTC 2025","passed","Tue Dec 30 20:04:26 UTC 2025","TestProductPage","test_product_page","",""
"","1554","Guest can add product to basket","tests","Tue Dec 30 20:04:09 UTC 2025","passed","Tue Dec 30 20:04:11 UTC 2025","TestProductPage","test_product_page","",""
"","1982","Guest can go to login page from Main page","tests","Tue Dec 30 20:04:07 UTC 2025","passed","Tue Dec 30 20:04:09 UTC 2025","TestMainPage","test_main_page","",""
"","6532","Guest see no messages on Product page","tests","Tue Dec 30 20:04:08 UTC 2025","passed","Tue Dec 30 20:04:14 UTC 2025","TestProductPage","test_product_page","",""
"","2783","Guest can add product to basket","tests","Tue Dec 30 20:04:22 UTC 2025","passed","Tue Dec 30 20:04:25 UTC 2025","TestProductPage","test_product_page","",""
